Bagietki francuskie;283
Bu³eczki do hot-dogów;341
Bu³ka tarta;347
Bu³ki grahamki;252
Bu³ki i rogale maœlane;327
Bu³ki mieszane, z cebul¹;284
Bu³ki mleczne;314
Bu³ki owsiane;304
Bu³ki pszenne zwyk³e;273
Bu³ki pszenne zwyk³e, z serwatk¹;277
Bu³ki sojowe;315
Bu³ki szwedki;272
Bu³ki wroc³awskie;294
Cha³ki zdobne;333
Chleb baltonowski;251
Chleb beskidzki;248
Chleb chrupki;353
Chleb ekstrudowany pszenny;381
Chleb ekstrudowany ¿ytni;383
Chleb graham;221
Chleb mazowiecki;254
Chleb mieszany jasny, rodzynkowy;261
Chleb mieszany pytlowy, z cebul¹;259
Chleb mieszany razowy, z bakaliami;247
Chleb mieszany sitkowy, z ziarnami;242
Chleb mieszany, s³onecznikowy;240
Chleb mieszany, z p³atkami owsianymi;238
Chleb mieszany, z soj¹;226
Chleb mleczny;256
Chleb na³êczowski;248
Chleb poleski;247
Chleb praski;248
Chleb pszenny;257
Chleb pszenny tostowy;262
Chleb pszenny, z ziarnem pszenicy;223
Chleb wiejski;245
Chleb wielkopolski;254
Chleb zakopiañski;261
Chleb zwyk³y;248
Chleb ¿ytni jasny;243
chleb ¿ytni jasny mleczny;258
Chleb ¿ytni mieszany z otrêbami;207
Chleb ¿ytni pe³noziarnisty;225
Chleb ¿ytni pytlowy;240
Chleb ¿ytni razowy;213
Chleb ¿ytni razowy litewski;224
Chleb ¿ytni razowy na miodzie;225
Chleb ¿ytni razowy wytrawny;217
Chleb ¿ytni razowy z soj¹ i s³onecznikiem;226
Chleb ¿ytni razowy, ze œliwk¹;228
Chleb ¿ytni sitkowy;220
Chleb ¿ytni staropolski;225
Chleb ¿ytni œrutowy i pe³noziarnisty;195
Chleb ¿ytni wileñski;218
Chrupki kukurydziane;352
Ciabatta;298
Kajzerki;296
Kasza gryczana;336
Kasza jaglana;346
Kasza jêczmienna, per³owa;327
Kasza jêczmienna, pêczak;334
Kasza manna;348
Kasza owsiana;326
Kuskus;356
Maka ¿ytnia, typ 2000;301
Makaron bezjajeczny;364
Makaron bezjajeczny z semoliny;367
Makaron czterojajeczny;391
Makaron dwujajeczny;373
Makaron dwujajeczny z semoliny;374
Makaron pe³noziarnisty;343
M¹ka gryczana pe³na;354
M¹ka jêczmienna;338
M¹ka jêczmienna pe³noziarnista;348
M¹ka kukurydziana;337
M¹ka orkiszowa;348
M¹ka owsiana;363
M¹ka pszenna, typ 1850;309
M¹ka pszenna, typ 500;343
M¹ka pszenna, typ 550;344
M¹ka pszenna, typ 750;341
M¹ka ry¿owa;348
M¹ka z pszenicy durum;354
M¹ka ¿ytnia, typ 1400;310
M¹ka ¿ytnia, typ 580;330
M¹ka ¿ytnia, typ 720;327
Musli czekoladowe;399
Musli owocowe bez cukru;363
Musli z owocami suszonymi;325
Musli z rodzynkami i orzechami;375
Orkisz;362
Otrêby pszenne;185
Otrêby ¿ytnie;176
Pieczywo tostowe;305
Pieczywo tostowe, grahamowe;273
P³atki jêczmienne;355
P³atki kukurydziane;363
P³atki kukurydziane z miodem i orzechami;387
P³atki otrêbowe, s³odzone cukrem;243
P³atki owsiane;366
P³atki pszenne;351
P³atki ¿ytnie;343
Proso;372
Pumpernikiel;240
Quinoa;335
Ry¿ bia³y;344
Ry¿ br¹zowy;322
Ry¿ dziki;338
Ry¿ preparowany;361
Semolina;346
Skrobia kukurydziana;353
Skrobia pszeniczna;345
Skrobia ry¿owa;350
S³one precelki;226
Strucle tureckie;322
Stucle wroc³awskie;303
Szar³at (Amarantus);370
Zarodki pszenne;323
Ziarno pszenicy;306
Ziarno ¿yta;301
Deser mleczny, ry¿owo-jab³kowy;134
Deser mleczny, ry¿owo-waniliowy;133
